,forecast,lower,upper
2019-10-01,816.9388827298661,684.8446005832194,954.2488978308254
2019-11-01,912.6632916038304,760.380265051958,1076.0241081949532
2019-12-01,898.1172501052355,760.0127198406238,1054.7179643782356
2020-01-01,874.7767603715283,725.797548794309,1024.7243756989456
2020-02-01,924.8880214837804,779.6774982294664,1074.8558347080902
2020-03-01,984.8401937527372,844.0568108758058,1157.9650833826122
2020-04-01,904.351786452135,750.305753799259,1047.1348210693207
2020-05-01,785.5568152769187,667.7031364407154,900.4654109859929
2020-06-01,794.0603763884269,688.5664659969308,914.093686122026
2020-07-01,874.7652685863055,753.8807818989973,1013.8579976254822
2020-08-01,965.750006703031,839.150661523323,1103.2836649076557
2020-09-01,882.7285203293133,750.4982808200315,1027.6140927512156
2020-10-01,938.2707876578619,796.018751981987,1091.348015509132
2020-11-01,933.0206421959198,801.0540541890783,1094.857571500469
2020-12-01,893.6571384733062,762.1903581032345,1044.2577750246155
2021-01-01,931.1894823943773,784.5673641845827,1078.1271946069878
2021-02-01,1074.1818971172588,890.7516635565005,1266.973343824749
2021-03-01,977.4204578057478,802.0972326299174,1175.5447229886609
2021-04-01,1149.5273503906897,962.7814991654645,1383.2992044751377
2021-05-01,1112.6995142402575,926.4943627794337,1297.1390151024443
2021-06-01,1162.2064150896117,972.0168511523623,1375.8851074084685
2021-07-01,1064.0436167581813,865.916925133829,1263.0863053642568
2021-08-01,1011.1389354196748,835.4967813921819,1200.4067851365885
2021-09-01,1050.870963104469,887.5442638420373,1226.1571657068769
